x,fdam_mode1,fdam_mode2,fdam_mode3,fdam_mode4,fdam_mode5,fdam_mode6,fdam_mode7,fdam_mode8,fdam_mode9,fdam_mode10
0.062,4.043290791025e+00,2.533919449958e+01,7.095108374076e+01,1.390366323412e+02,2.298382692642e+02,3.433388293137e+02,4.795387720958e+02,6.384374476359e+02,8.200346826537e+02,1.024330400171e+03
0.064,4.043291550924e+00,2.533920711561e+01,7.095112528001e+01,1.390367011774e+02,2.298383270627e+02,3.433387973761e+02,4.795385483929e+02,6.384369447496e+02,8.200338791214e+02,1.024329390257e+03
0.066,4.043292308506e+00,2.533921955513e+01,7.095116549114e+01,1.390367651649e+02,2.298383731602e+02,3.433387446666e+02,4.795382975197e+02,6.384364201745e+02,8.200330830590e+02,1.024328450552e+03
0.068,4.043293063769e+00,2.533923181807e+01,7.095120437681e+01,1.390368243500e+02,2.298384078443e+02,3.433386722701e+02,4.795380224337e+02,6.384358801986e+02,8.200323052059e+02,1.024327595603e+03
0.070,4.043293816713e+00,2.533924390435e+01,7.095124194014e+01,1.390368787828e+02,2.298384314190e+02,3.433385813136e+02,4.795377261452e+02,6.384353310543e+02,8.200315557995e+02,1.024326838354e+03
0.072,4.043294567336e+00,2.533925581391e+01,7.095127818460e+01,1.390369285174e+02,2.298384442051e+02,3.433384729633e+02,4.795374117032e+02,6.384347788767e+02,8.200308444838e+02,1.024326190003e+03
0.074,4.043295315636e+00,2.533926754670e+01,7.095131311412e+01,1.390369736115e+02,2.298384465390e+02,3.433383484206e+02,4.795370821807e+02,6.384342296615e+02,8.200301802229e+02,1.024325659884e+03
0.076,4.043296061612e+00,2.533927910267e+01,7.095134673306e+01,1.390370141268e+02,2.298384387727e+02,3.433382089190e+02,4.795367406592e+02,6.384336892231e+02,8.200295712217e+02,1.024325255373e+03
0.078,4.043296805261e+00,2.533929048181e+01,7.095137904621e+01,1.390370501288e+02,2.298384212730e+02,3.433380557198e+02,4.795363902139e+02,6.384331631549e+02,8.200290248536e+02,1.024324981817e+03
0.080,4.043297546584e+00,2.533930168408e+01,7.095141005880e+01,1.390370816869e+02,2.298383944212e+02,3.433378901078e+02,4.795360338976e+02,6.384326567898e+02,8.200285475960e+02,1.024324842488e+03
0.082,4.043298285577e+00,2.533931270948e+01,7.095143977656e+01,1.390371088743e+02,2.298383586121e+02,3.433377133876e+02,4.795356747253e+02,6.384321751638e+02,8.200281449759e+02,1.024324838572e+03
0.084,4.043299022240e+00,2.533932355801e+01,7.095146820565e+01,1.390371317680e+02,2.298383142535e+02,3.433375268786e+02,4.795353156589e+02,6.384317229804e+02,8.200278215236e+02,1.024324969174e+03
0.086,4.043299756570e+00,2.533933422970e+01,7.095149535272e+01,1.390371504487e+02,2.298382617654e+02,3.433373319108e+02,4.795349595918e+02,6.384313045784e+02,8.200275807380e+02,1.024325231358e+03
0.088,4.043300488566e+00,2.533934472456e+01,7.095152122491e+01,1.390371650010e+02,2.298382015789e+02,3.433371298197e+02,4.795346093336e+02,6.384309239023e+02,8.200274250621e+02,1.024325620212e+03
0.090,4.043301218226e+00,2.533935504265e+01,7.095154582984e+01,1.390371755129e+02,2.298381341360e+02,3.433369219422e+02,4.795342675958e+02,6.384305844752e+02,8.200273558690e+02,1.024326128939e+03
0.092,4.043301945549e+00,2.533936518402e+01,7.095156917562e+01,1.390371820763e+02,2.298380598877e+02,3.433367096113e+02,4.795339369775e+02,6.384302893757e+02,8.200273734595e+02,1.024326748973e+03
0.094,4.043302670533e+00,2.533937514874e+01,7.095159127087e+01,1.390371847865e+02,2.298379792941e+02,3.433364941514e+02,4.795336199515e+02,6.384300412179e+02,8.200274770715e+02,1.024327470116e+03
0.096,4.043303393175e+00,2.533938493691e+01,7.095161212470e+01,1.390371837421e+02,2.298378928224e+02,3.433362768736e+02,4.795333188520e+02,6.384298421352e+02,8.200276648992e+02,1.024328280699e+03
0.098,4.043304113475e+00,2.533939454862e+01,7.095163174672e+01,1.390371790453e+02,2.298378009468e+02,3.433360590706e+02,4.795330358621e+02,6.384296937678e+02,8.200279341249e+02,1.024329167764e+03
0.100,4.043304831431e+00,2.533940398400e+01,7.095165014708e+01,1.390371708015e+02,2.298377041466e+02,3.433358420122e+02,4.795327730026e+02,6.384295972547e+02,8.200282809602e+02,1.024330117261e+03
0.102,4.043305547040e+00,2.533941324318e+01,7.095166733641e+01,1.390371591191e+02,2.298376029057e+02,3.433356269404e+02,4.795325321214e+02,6.384295532289e+02,8.200287006980e+02,1.024331114254e+03
0.104,4.043306260300e+00,2.533942232631e+01,7.095168332586e+01,1.390371441097e+02,2.298374977113e+02,3.433354150649e+02,4.795323148846e+02,6.384295618177e+02,8.200291877745e+02,1.024332143149e+03
0.106,4.043306971211e+00,2.533943123356e+01,7.095169812710e+01,1.390371258878e+02,2.298373890524e+02,3.433352075586e+02,4.795321227682e+02,6.384296226463e+02,8.200297358395e+02,1.024333187918e+03
0.108,4.043307679770e+00,2.533943996512e+01,7.095171175229e+01,1.390371045706e+02,2.298372774195e+02,3.433350055528e+02,4.795319570504e+02,6.384297348460e+02,8.200303378359e+02,1.024334232342e+03
0.110,4.043308385975e+00,2.533944852119e+01,7.095172421413e+01,1.390370802781e+02,2.298371633023e+02,3.433348101337e+02,4.795318188062e+02,6.384298970662e+02,8.200309860857e+02,1.024335260239e+03
